text,label,pre_text
[c]只因实力不足。,[14],只因实力不足。
[c]那你认为的陪练是什么呢？,[3],那你认为的陪练是什么呢？
[c]不知道,[13],不知道
[c]请相信我的话，[c]鲲鹏殒落，[c]其盖世宝术若还存于世间，[c]真的只能在那片海域中，[c]我来与你们相谈，[c]绝对有诚意，[c]不会加害。,"[6, 0, 14, 15, 0, 0, 13]",请相信我的话，鲲鹏殒落，其盖世宝术若还存于世间，真的只能在那片海域中，我来与你们相谈，绝对有诚意，不会加害。
[c]外面有雪，[c]万一耽搁了，[c]爷爷奶奶和外公外婆可就要自己过年了。,"[0, 14, 0]",外面有雪，万一耽搁了，爷爷奶奶和外公外婆可就要自己过年了。
[c]你刚说啥？,[3],你刚说啥？
[c]在下想要得到，[c]这座画舫中的机缘！,"[0, 0]",在下想要得到，这座画舫中的机缘！
[c][ch-0]，[c]你不是和你丈夫的关系不好，[c]你这样帮我，[c]会不会很为难？,"[1, 4, 0, 3]",ch-0，你不是和你丈夫的关系不好，你这样帮我，会不会很为难？
[c]怎么了哥？,[3],怎么了哥？
[c]法理之外还不外乎人情，[c]何况[ch-1]这么个孩子。,"[13, 14]",法理之外还不外乎人情，何况ch-1这么个孩子。
[c]阁主能否体恤他一片赤子孝心，[c]这次的事情就当给了一个教训？,"[3, 3]",阁主能否体恤他一片赤子孝心，这次的事情就当给了一个教训？
[c]行，[c]回头屋里要是缺什么记得跟我说，[c]千万不要客气。,"[12, 5, 13]",行，回头屋里要是缺什么记得跟我说，千万不要客气。
[c]摄政王叔叔应该已经听说了吧？,[3],摄政王叔叔应该已经听说了吧？
[c]呵呵，[c]这是[ch-0]吧！,"[1, 2]",呵呵，这是ch-0吧！
[c]你是[ch-1]的女儿，[c]手上得时刻有些钱。,"[0, 0]",你是ch-1的女儿，手上得时刻有些钱。
[c]今天的事，[c]爷爷会给你一个交代，[c]具体的，[c]等处理完，[c]你且一旁等着！,"[0, 8, 0, 0, 7]",今天的事，爷爷会给你一个交代，具体的，等处理完，你且一旁等着！
[c]当然，[c]我们会绝对保密。,"[14, 15]",当然，我们会绝对保密。
[c]你们找他有什么事吗？,[3],你们找他有什么事吗？
[c]的确挺危险的，[c]而且，[c]那里面的东西可不是人，[c]各个都是魔了，[c]而且，[c]也不一定能说服。,"[0, 14, 13, 0, 14, 13]",的确挺危险的，而且，那里面的东西可不是人，各个都是魔了，而且，也不一定能说服。
[c]那也行。,[0],那也行。
[c]皇子们去不去？,[3],皇子们去不去？
[c]应该是，[c]皇上是看着高兴。,"[10, 0]",应该是，皇上是看着高兴。
[c]要是还不去，[c]那她可真是一无是处了。,"[14, 15]",要是还不去，那她可真是一无是处了。
[c]保证完成任务。,[8],保证完成任务。
[c]哼，[c]你既然答应了，[c]从今天开始，[c][ch-0]将不会对[ch-2]施压，[c]我保证，[c][ch-2]集团重回正轨，[c]除此之外。,"[1, 14, 15, 13, 8, 0, 14]",哼，你既然答应了，从今天开始，ch-0将不会对ch-2施压，我保证，ch-2集团重回正轨，除此之外。
[c]哎，[c]他十几天前欠债跑路了。,"[2, 0]",哎，他十几天前欠债跑路了。
[c][ch-0]无忧见过鬼祖，[c]不知鬼祖前来寻我何事？,"[1, 3]",ch-0无忧见过鬼祖，不知鬼祖前来寻我何事？
[c]护法？,[3],护法？
[c]喂爸。,[1],喂爸。
[c]大王以后定会功盖三皇五帝，[c]理应合称皇帝，[c]因为您是首创，[c]所以该当叫作始皇。,"[10, 15, 14, 15]",大王以后定会功盖三皇五帝，理应合称皇帝，因为您是首创，所以该当叫作始皇。
[c]哼，[c]吃你的饭吧！,"[2, 7]",哼，吃你的饭吧！
[c]没有。,[13],没有。
[c]我们浣花楼做的是正规生意，[c]怎能与官府背道而驰呢？,"[0, 4]",我们浣花楼做的是正规生意，怎能与官府背道而驰呢？
[c]您说是不是？,[3],您说是不是？
[c]啊是，[c][ch-0]，[c]我马上就去办！,"[12, 1, 9]",啊是，ch-0，我马上就去办！
[c][ch-1]老师，[c]你为何对僵尸如此了解？,"[1, 3]",ch-1老师，你为何对僵尸如此了解？
[c]你帮我抱上楼吧。,[6],你帮我抱上楼吧。
[c]好。,[12],好。
[c]噢。,[2],噢。
[c]我是说赤炎训练快结束了，[c]考核你会很忙。,"[0, 0]",我是说赤炎训练快结束了，考核你会很忙。
[c]报告，[c]那小子在二楼的楼梯口，[c]估计已经上来了，[c]完毕！,"[0, 0, 10, 0]",报告，那小子在二楼的楼梯口，估计已经上来了，完毕！
[c]怎么回事？,[3],怎么回事？
[c]妈看得出来，[c]你这五年来心底一直有个人，[c]就是这孩子是么？,"[0, 0, 3]",妈看得出来，你这五年来心底一直有个人，就是这孩子是么？
[c]去吧。,[5],去吧。
[c]这个应是不会。,[10],这个应是不会。
[c]你的准备是什么？,[3],你的准备是什么？
[c][ch-1]，[c]你知道[ch-2]吗？,"[1, 3]",ch-1，你知道ch-2吗？
[c]老太爷，[c]这。,"[1, 0]",老太爷，这。
[c]这事可不能叫你嫂子知道。,[13],这事可不能叫你嫂子知道。
[c]我有很多话想跟倾儿说，[c][ch-1]先生不必照顾我们，[c]有事尽管去忙。,"[0, 13, 5]",我有很多话想跟倾儿说，ch-1先生不必照顾我们，有事尽管去忙。
[c][ch-0]首长过誉了，[c]在您这位老前辈面前，[c]就我那点战绩哪好意思拿出来说？,"[0, 0, 4]",ch-0首长过誉了，在您这位老前辈面前，就我那点战绩哪好意思拿出来说？
[c]不值一提啊！,[13],不值一提啊！
[c][ch-0]，[c]第三团什么时候开，[c]我还去！,"[1, 3, 0]",ch-0，第三团什么时候开，我还去！
[c][ch-1]，[c]做什么呢？,"[1, 3]",ch-1，做什么呢？
[c]那位可是[ch-2]的贵客。,[0],那位可是ch-2的贵客。
[c][ch-0]，[c]这姑娘买那个！,"[1, 0]",ch-0，这姑娘买那个！
[c]你叫什么啊，[c]为什么会在我的身体里？,"[3, 3]",你叫什么啊，为什么会在我的身体里？
[c]那，[c]能请您将抓到的人交给我们吗？,"[1, 3]",那，能请您将抓到的人交给我们吗？
[c]我们一个兄弟被她砸破了脑袋。,[0],我们一个兄弟被她砸破了脑袋。
[c]那个！,[1],那个！
[c]院长~~,[1],院长~~
[c]老爷子曾与我们说过，[c]这天底下就没有不妒的女子，[c]若真是自己的新妇没有妒意，[c]那是她心里根本没有你。,"[1, 13, 14, 15]",老爷子曾与我们说过，这天底下就没有不妒的女子，若真是自己的新妇没有妒意，那是她心里根本没有你。
[c]先生在上，[c]请受[ch-0]一拜，[c]我终于找到您了，[c]恩人！,"[1, 6, 0, 1]",先生在上，请受ch-0一拜，我终于找到您了，恩人！
[c]哎，[c]假如我爸知道你来了宁城，[c]恐怕你会受到一番苦头啊，[c]你一定要在车站好好等着，[c]回去吧！,"[1, 14, 10, 7, 7]",哎，假如我爸知道你来了宁城，恐怕你会受到一番苦头啊，你一定要在车站好好等着，回去吧！
[c]胖的是你！,[2],胖的是你！
[c]是没有了。,[13],是没有了。
[c]到了，[c]这里就是我获得传承的仙府。,"[0, 0]",到了，这里就是我获得传承的仙府。
[c]你想多了。,[0],你想多了。
[c]行了行了，[c]你可以回去了，[c]一个没出嫁的小姑娘，[c]穿的黑不溜秋的，[c]头发毛糙糙的皮肤也这么粗，[c]造的跟三十好几一样。,"[0, 7, 0, 0, 0, 0]",行了行了，你可以回去了，一个没出嫁的小姑娘，穿的黑不溜秋的，头发毛糙糙的皮肤也这么粗，造的跟三十好几一样。
[c]爱要不要！,[2],爱要不要！
[c]怎么，[c]一向清高的[ch-0]小姐打算牺牲色相重回直播圈？,"[3, 3]",怎么，一向清高的ch-0小姐打算牺牲色相重回直播圈？
[c]停停停，[c]我们来不是听你炫耀的，,"[7, 13]",停停停，我们来不是听你炫耀的，
[c]你很吵呢。,[2],你很吵呢。
[c]啧，[c]你怕什么啊？,"[2, 4]",啧，你怕什么啊？
[c]侍郎[ch-2]之女？,[3],侍郎ch-2之女？
[c]都十八了，[c]有点老了吧？,"[0, 4]",都十八了，有点老了吧？
[c]这还用问？,[4],这还用问？
[c][ch-0]他再横，[c]也只不过是跟我们这种普通人横一横，[c]一旦碰上硬茬子那就原形毕露了，[c][ch-1]家好歹也是二流家族，[c]好歹[ch-1]家的人有一个还是在国外里的有位人物，[c]哎，[c]他[ch-0]一个见不得光的角色，[c]也有实力和人家[ch-1]家硬碰硬啊？,"[14, 15, 14, 14, 14, 2, 13, 4]",ch-0他再横，也只不过是跟我们这种普通人横一横，一旦碰上硬茬子那就原形毕露了，ch-1家好歹也是二流家族，好歹ch-1家的人有一个还是在国外里的有位人物，哎，他ch-0一个见不得光的角色，也有实力和人家ch-1家硬碰硬啊？
[c]你也不怎么样。,[13],你也不怎么样。
[c]有你大舅子，[c]还愁他们不出丑？,"[0, 4]",有你大舅子，还愁他们不出丑？
[c]就这些？,[3],就这些？
[c]你想干嘛？,[3],你想干嘛？
[c]呵，[c]哼，[c]需要解释什么？,"[1, 1, 3]",呵，哼，需要解释什么？
[c]这家伙该不会要下跪求饶吧！,[4],这家伙该不会要下跪求饶吧！
[c]既然你觉得他这么差那你还跟他去相亲。,[14],既然你觉得他这么差那你还跟他去相亲。
[c]我也挺不喜欢他的，[c]特装。,"[13, 0]",我也挺不喜欢他的，特装。
[c][ch-0]姐，[c]你也不能轻易把人看扁了，[c]我觉得很有可能是她那天觉得咱们像骗子，[c]才会那么说的。,"[1, 13, 10, 15]",ch-0姐，你也不能轻易把人看扁了，我觉得很有可能是她那天觉得咱们像骗子，才会那么说的。
[c]就这点本事。,[14],就这点本事。
[c]懒的他，[c]洗个澡都要人给他拎热水。,"[0, 0]",懒的他，洗个澡都要人给他拎热水。
[c]哼。,[1],哼。
[c]这是去告状了？,[3],这是去告状了？
[c]听这语气，[c]是已经投入你爸爸的怀抱了？,"[0, 3]",听这语气，是已经投入你爸爸的怀抱了？
[c]他有没有好好疼爱你？,[3],他有没有好好疼爱你？
[c]全方面的深入疼爱，[c]呵呵呵,"[0, 0]",全方面的深入疼爱，呵呵呵
[c]谁让我是老绝户呢？,[3],谁让我是老绝户呢？
[c]没什么好看的，[c]读者发来的烦心东西。,"[13, 0]",没什么好看的，读者发来的烦心东西。
[c]这和外面那些卖的有什么区别呢？,[3],这和外面那些卖的有什么区别呢？
[c]不然你觉得还能是谁？,[4],不然你觉得还能是谁？
[c]这一拳你就受不了了？,[4],这一拳你就受不了了？
[c]无聊。,[0],无聊。
[c][ch-2]，[c]你记住自己的身份，[c]就算你和我订婚，[c]你也只是[ch-0]家的一个摆件，[c]你不要妄想代替你姐姐。,"[1, 7, 14, 15, 13]",ch-2，你记住自己的身份，就算你和我订婚，你也只是ch-0家的一个摆件，你不要妄想代替你姐姐。
[c]就是就是，[c]这天底下哪有什么药是包治瘫痪的，[c]别逗人笑了。,"[0, 4, 0]",就是就是，这天底下哪有什么药是包治瘫痪的，别逗人笑了。
[c]不好意思啊，[c]我不喜欢欠人情，[c]也不喜欢人欠我情，[c]我们不认识。,"[13, 13, 13, 13]",不好意思啊，我不喜欢欠人情，也不喜欢人欠我情，我们不认识。
[c]你吃错药了？,[3],你吃错药了？
[c]没什么意思，[c]你是不是觉得自己好不容易遇到一个身份不简单的嫌疑犯，[c]勾起你心底里最强烈的抓捕欲，[c]一定要抓到我，[c]好给身上安一个莫须有的罪名，[c]才觉得开心呢！,"[13, 4, 0, 0, 0, 4]",没什么意思，你是不是觉得自己好不容易遇到一个身份不简单的嫌疑犯，勾起你心底里最强烈的抓捕欲，一定要抓到我，好给身上安一个莫须有的罪名，才觉得开心呢！
[c]想吃自己做，[c]别来烦我。,"[7, 7]",想吃自己做，别来烦我。
[c]别墅？,[3],别墅？
[c]你直接去售楼处那里买不就行了？,[4],你直接去售楼处那里买不就行了？
[c]不是都跟你说了，[c]看不懂吗。,"[4, 4]",不是都跟你说了，看不懂吗。
[c]能不能活着回来，[c]你比谁都清楚，[c]别告诉我你会有把握啊，[c]哼，[c]那可真是笑死人了啊表姐。,"[3, 0, 7, 1, 2]",能不能活着回来，你比谁都清楚，别告诉我你会有把握啊，哼，那可真是笑死人了啊表姐。
[c]都说没有不偷腥的猫，[c]看来这话果然不假。,"[13, 13]",都说没有不偷腥的猫，看来这话果然不假。
[c]老东西，[c]没进东六域，[c]是不是很后悔呀，[c]啊？,"[1, 13, 3, 3]",老东西，没进东六域，是不是很后悔呀，啊？
[c][ch-0]？,[3],ch-0？
[c]那个蠢货不过是一枚棋子而已，[c]不过是手废了而已，[c]谁叫她那么蠢的，[c]呵我都说得很清楚了，[c]是我的保镖一直对我心存爱慕，[c]所以偷了我的耳环，[c]放在身上，[c]一切都是他做的，[c]我什么都不知道，[c][ch-1]她能拿我怎么样呢？,"[14, 14, 4, 0, 0, 15, 0, 0, 13, 4]",那个蠢货不过是一枚棋子而已，不过是手废了而已，谁叫她那么蠢的，呵我都说得很清楚了，是我的保镖一直对我心存爱慕，所以偷了我的耳环，放在身上，一切都是他做的，我什么都不知道，ch-1她能拿我怎么样呢？
[c]她那样的人，[c]心比天高，,"[0, 0]",她那样的人，心比天高，
[c][ch-2]鬼知道呢，[c]不过敢来[ch-0]家老爷子的宴会上闹事，[c]今日怕是他要命丧黄泉喽！,"[4, 14, 10]",ch-2鬼知道呢，不过敢来ch-0家老爷子的宴会上闹事，今日怕是他要命丧黄泉喽！
[c]半个小时内就想灭了我[ch-0]家，[c]未免，[c]也太小瞧我们了，[c]说大话小心闪着腰啊！,"[0, 0, 0, 2]",半个小时内就想灭了我ch-0家，未免，也太小瞧我们了，说大话小心闪着腰啊！
[c]你自己看着办吧！,[9],你自己看着办吧！
[c]啊。,[2],啊。
[c]能认识才怪！,[2],能认识才怪！
[c]这么怂啊，[c]果然是个废物，[c]和他哥哥是一个鸟样，[c]废物得不行啊，[c][ch-0]，[c]来，[c]咱们喝酒，[c]别跟这么一个小人物置气，[c]影响咱们兄弟心情。,"[2, 2, 0, 2, 1, 7, 9, 7, 0]",这么怂啊，果然是个废物，和他哥哥是一个鸟样，废物得不行啊，ch-0，来，咱们喝酒，别跟这么一个小人物置气，影响咱们兄弟心情。
[c]啊。,[2],啊。
[c]呵呵呵，[c]请问谁给你的自信,"[1, 4]",呵呵呵，请问谁给你的自信
[c]行了，[c]咱们还把手里的设计图变成钱再说吧。,"[0, 9]",行了，咱们还把手里的设计图变成钱再说吧。
[c]不知道啊，[c]你看他还带了个穷小子来，[c]不会是乡下来的乡野村夫吧！,"[13, 14, 4]",不知道啊，你看他还带了个穷小子来，不会是乡下来的乡野村夫吧！
[c]是啊，[c][ch-2]，[c]你不知道吗？,"[12, 1, 3]",是啊，ch-2，你不知道吗？
[c]别做出这副怨妇般的表情，[c]我不会抛弃你，[c]而是在跟你说正经的。,"[7, 13, 15]",别做出这副怨妇般的表情，我不会抛弃你，而是在跟你说正经的。
[c]哎呀，[c]啧，[c]那真是太可惜了，[c]你是没见到[ch-1]那个不讲道理，[c]残忍暴力的画面，[c]人家[ch-0]只不过是不小心撞了他一下，[c]他反手就把人给打了，[c]后来还仗着自己有一把好刀卖给了华美集团[ch-3]，[c]结交了情分，[c]就让[ch-3]的人把,"[2, 2, 2, 0, 0, 14, 15, 0, 0, 15]",哎呀，啧，那真是太可惜了，你是没见到ch-1那个不讲道理，残忍暴力的画面，人家ch-0只不过是不小心撞了他一下，他反手就把人给打了，后来还仗着自己有一把好刀卖给了华美集团ch-3，结交了情分，就让ch-3的人把
[c]哼，[c]还算便宜你的，[c]你若是想找麻烦，[c]我华美集团随时奉陪，[c]你可以回去问问你庄家老太爷，[c]敢不敢和我华美集团来一次正面对抗？,"[1, 0, 14, 15, 0, 4]",哼，还算便宜你的，你若是想找麻烦，我华美集团随时奉陪，你可以回去问问你庄家老太爷，敢不敢和我华美集团来一次正面对抗？
[c][ch-0]，[c]你不是很能打吗？,"[1, 4]",ch-0，你不是很能打吗？
[c]你就不觉得恶心吗？,[4],你就不觉得恶心吗？
[c]如果只是这么简单，[c]岂不是遍地都是设计师？,"[14, 4]",如果只是这么简单，岂不是遍地都是设计师？
[c]行了啊！,[2],行了啊！
[c]不就四级渔夫嘛！,[4],不就四级渔夫嘛！
[c]有啥好看的？,[3],有啥好看的？
[c]伤人只能说你太自以为是了。,[0],伤人只能说你太自以为是了。
[c]早上我好好的在训练，[c]经理把我叫过去教那个小白脸，[c]我寻思着教吧！,"[0, 0, 2]",早上我好好的在训练，经理把我叫过去教那个小白脸，我寻思着教吧！
[c]这就是小姐说的那个出狱的人渣？,[3],这就是小姐说的那个出狱的人渣？
[c]你有什么用？,[3],你有什么用？
[c]能帮忙吗？,[3],能帮忙吗？
[c]咳咳那我可以走了吧？,[3],咳咳那我可以走了吧？
[c][ch-1]，[c]这可是你自找的。,"[1, 2]",ch-1，这可是你自找的。
[c][ch-0]啊，[c]你可真会开玩笑，[c]人家[ch-2]是什么身份，[c]你是什么身份，[c]啊，[c]你还是和几年前没什么变化，[c]爱吹牛，[c]爱装逼，[c]你还记得你以前做过什么吗？,"[1, 2, 4, 3, 2, 0, 0, 0, 3]",ch-0啊，你可真会开玩笑，人家ch-2是什么身份，你是什么身份，啊，你还是和几年前没什么变化，爱吹牛，爱装逼，你还记得你以前做过什么吗？
[c]我讨厌投影电话。,[0],我讨厌投影电话。
[c]我感觉姐姐最近好烦人。,[0],我感觉姐姐最近好烦人。
[c]什么地方？,[3],什么地方？
[c]不就是一个破殿。,[13],不就是一个破殿。
[c]谁跟你这么说的？,[4],谁跟你这么说的？
[c]那真不好意思，[c]我不是你的出气筒。,"[13, 13]",那真不好意思，我不是你的出气筒。
[c]我倒要看看你们能过几个？,[3],我倒要看看你们能过几个？
[c]会不会晚了一点？,[3],会不会晚了一点？
[c]刚刚我都说过，[c]带着它，[c]方圆数百米的范围内，[c]七阶以下的魔兽自动退避，[c]这难道还不够吗？,"[0, 0, 0, 0, 4]",刚刚我都说过，带着它，方圆数百米的范围内，七阶以下的魔兽自动退避，这难道还不够吗？
[c][ch-0]，[c]你最好不要惹我。,"[1, 7]",ch-0，你最好不要惹我。
[c]行了，[c]你就不要发表意见了，[c]你除了泼冷水也不会别的。,"[0, 13, 13]",行了，你就不要发表意见了，你除了泼冷水也不会别的。
[c]我发现催促你们公司加快进度根本就是最无聊的做法。,[0],我发现催促你们公司加快进度根本就是最无聊的做法。
[c]可你听了吗？,[3],可你听了吗？
[c]就这句话，[c]他以为他谁啊，[c]口气这么。,"[0, 4, 0]",就这句话，他以为他谁啊，口气这么。
[c]上车。,[7],上车。
[c]都跟你说了，[c]说了你也不知道，[c]别问了,"[0, 13, 7]",都跟你说了，说了你也不知道，别问了
[c]老头，[c]这故事你说了三十年，[c]能换一个么？,"[1, 0, 3]",老头，这故事你说了三十年，能换一个么？
[c]和你一起吃饭，[c]还得看你工作，[c]所以倒胃口！,"[0, 14, 2]",和你一起吃饭，还得看你工作，所以倒胃口！
[c]我们又不傻，[c]看出来了。,"[13, 0]",我们又不傻，看出来了。
[c]是啊，[c]就是她，[c]刚才还撒谎骗人污蔑[ch-1]呢！,"[12, 0, 2]",是啊，就是她，刚才还撒谎骗人污蔑ch-1呢！
[c]这么多人能唱个什么。,[4],这么多人能唱个什么。
[c]一个毫无教养的孩子你们要带，[c]就带走吧！,"[0, 9]",一个毫无教养的孩子你们要带，就带走吧！
[c]找工作？,[3],找工作？
[c]哎，[c]小乞丐，[c]说你呢！,"[1, 1, 2]",哎，小乞丐，说你呢！
[c]老爷子不会见你。,[13],老爷子不会见你。
[c]说完了吗？,[3],说完了吗？
[c]怎么，[c]有问题吗？,"[3, 3]",怎么，有问题吗？
[c]还有没有能打的？,[3],还有没有能打的？
[c]我是真不想干，[c]可这种为人民服务的差事都是又苦又累，[c]如果别的同学都不愿意，[c]我也只能硬着头皮顶上了。,"[13, 14, 14, 15]",我是真不想干，可这种为人民服务的差事都是又苦又累，如果别的同学都不愿意，我也只能硬着头皮顶上了。
[c]哼，[c]这次算你走运。,"[2, 2]",哼，这次算你走运。
[c]没什么兴趣，[c]基本不来。,"[13, 13]",没什么兴趣，基本不来。
[c]在王都用跳舞粉的是我，[c]让你们干旱的也是我，[c]你们从头到尾都只是被我操控的傀儡，[c]只可惜.,"[0, 0, 0, 14]",在王都用跳舞粉的是我，让你们干旱的也是我，你们从头到尾都只是被我操控的傀儡，只可惜.
[c]我没想到[ch-2]你会在快成功的时候背叛我。,[13],我没想到ch-2你会在快成功的时候背叛我。
[c]你除了在外面招惹是非，[c]还能做什么呀？,"[14, 4]",你除了在外面招惹是非，还能做什么呀？
[c][ch-0]死了，[c]身高也很般配。,"[0, 0]",ch-0死了，身高也很般配。
[c]两瓶破药有必要卖吗？,[4],两瓶破药有必要卖吗？
[c]又没人买！,[13],又没人买！
[c]让他去，[c]就这么点本事，[c]还都是跟[ch-2]学来的。,"[0, 0, 0]",让他去，就这么点本事，还都是跟ch-2学来的。
[c]自己搞,[0],自己搞
[c]你五年都没有回来，[c]还非得要来现场搞这么一个突然袭击。,"[13, 15]",你五年都没有回来，还非得要来现场搞这么一个突然袭击。
[c]玩够了吗？,[3],玩够了吗？
[c]看什么看？,[4],看什么看？
[c]看了脚丫子就要娶你，[c]那我多亏啊。,"[0, 2]",看了脚丫子就要娶你，那我多亏啊。
[c]难道这么大的一座城市，[c]就没有一个能打的吗？,"[14, 4]",难道这么大的一座城市，就没有一个能打的吗？
[c]弱者，[c]是没有资格说这句话的。,"[0, 13]",弱者，是没有资格说这句话的。
[c]日他娘的，[c]凤桥下几百个这样的算命先生，[c]竞争太激烈了。,"[0, 0, 2]",日他娘的，凤桥下几百个这样的算命先生，竞争太激烈了。
[c]而且算命先生要摆架子太累了，[c]还是做乞丐好。,"[14, 15]",而且算命先生要摆架子太累了，还是做乞丐好。
[c]没事，[c]我说了，[c]跟一只蝼蚁有什么好计较的，[c]当然了，[c]你也是蝼蚁，[c]如果不是看在[ch-0]董事长的面子上，[c]我都不会看你一眼。,"[0, 0, 0, 14, 0, 14, 13]",没事，我说了，跟一只蝼蚁有什么好计较的，当然了，你也是蝼蚁，如果不是看在ch-0董事长的面子上，我都不会看你一眼。
[c]走！,[7],走！
[c]你便去给她陪葬罢。,[9],你便去给她陪葬罢。
[c]呵呵，[c]惹不起？,"[1, 4]",呵呵，惹不起？
[c]那我倒想看看你是怎么把我碎尸万段的，[c]来，[c]我等着呢！,"[14, 7, 0]",那我倒想看看你是怎么把我碎尸万段的，来，我等着呢！
[c]她死了吗？,[3],她死了吗？
[c]本将要率军，[c]踏平虎头山！,"[0, 2]",本将要率军，踏平虎头山！
[c]对，[c]道歉。,"[12, 0]",对，道歉。
[c]追风暗影！,[2],追风暗影！
[c]来得好！,[2],来得好！
[c][ch-0]，[c]你怕了？,"[1, 3]",ch-0，你怕了？
[c]哼，[c]怕了吧！,"[2, 3]",哼，怕了吧！
[c]如果你觉着非干不可，[c]不干的话，[c]下半辈子良心难安，[c]那就去做！,"[14, 13, 15, 9]",如果你觉着非干不可，不干的话，下半辈子良心难安，那就去做！
[c]你如果是集团[ch-0]，[c]我身为人力资源部的总监，[c]有权利管理你，[c]你如果不是，[c]哼，[c]闲杂人等可不准踏进集团一步啊，[c]这是规矩。,"[14, 0, 15, 14, 2, 13, 0]",你如果是集团ch-0，我身为人力资源部的总监，有权利管理你，你如果不是，哼，闲杂人等可不准踏进集团一步啊，这是规矩。
[c]小小姐，[c]你查的这个人竟然有五年的空档期，[c]且五年前有四年的时间处于极度机密封存，[c]就连从小到大的档案上也被刻上a级档案，[c]我们没有资格查阅！,"[1, 2, 0, 15, 13]",小小姐，你查的这个人竟然有五年的空档期，且五年前有四年的时间处于极度机密封存，就连从小到大的档案上也被刻上a级档案，我们没有资格查阅！
[c]不敢？,[4],不敢？
[c]你的鱼呢？,[3],你的鱼呢？
[c]站住，[c]只能你一个人进入、刀不许带进去。,"[7, 7]",站住，只能你一个人进入、刀不许带进去。
[c]不，[c]我没有跟你说话，[c]你还不够资格。,"[13, 13, 13]",不，我没有跟你说话，你还不够资格。
[c]刚才你不是说本少爷在玩火吗？,[4],刚才你不是说本少爷在玩火吗？
[c]是。,[11],是。
[c]看来[ch-2]公主果然跟[ch-1]总是姐妹，[c]总是习惯用身份压人！,"[2, 2]",看来ch-2公主果然跟ch-1总是姐妹，总是习惯用身份压人！
[c]y国公主,[0],y国公主
[c][ch-0]，[c]早知今日，[c]何必当初。,"[1, 0, 0]",ch-0，早知今日，何必当初。
[c]都走到这一步了，[c]你觉得还有退路吗？,"[0, 4]",都走到这一步了，你觉得还有退路吗？
[c]让学校发，[c]是看在任校长和您的面子上，[c]要让我动手,"[0, 0, 7]",让学校发，是看在任校长和您的面子上，要让我动手
[c]少爷，[c]这个骗子他。,"[1, 0]",少爷，这个骗子他。
[c]是，[c]老大。,"[11, 1]",是，老大。
[c]呵，[c]可惜啊，[c]这个女孩长的那么漂亮，[c]马上就要沦为一具尸体啦！,"[1, 2, 0, 2]",呵，可惜啊，这个女孩长的那么漂亮，马上就要沦为一具尸体啦！
[c]看爷爷我怎么降服他们的！,[2],看爷爷我怎么降服他们的！
[c]至少有三十余人，[c]真是一群不知死活的！,"[0, 2]",至少有三十余人，真是一群不知死活的！
[c]恨！,[2],恨！
[c]冲，[c]别让他们跑了。,"[7, 7]",冲，别让他们跑了。
[c]对不起我是，[c]这件事我必须得管。,"[13, 0]",对不起我是，这件事我必须得管。
[c][ch-0]老三，[c]你老婆的胸口处有一个痣，[c]每一次我捏住时，[c]她都会兴奋的不得了。,"[1, 0, 0, 15]",ch-0老三，你老婆的胸口处有一个痣，每一次我捏住时，她都会兴奋的不得了。
[c]我看八成是有心人想借此泼水给[ch-0]家吧！,[10],我看八成是有心人想借此泼水给ch-0家吧！
[c]不用了，[c]直接去监控室。,"[13, 9]",不用了，直接去监控室。
[c][ch-1]，[c]难道此事与我有关么？,"[1, 4]",ch-1，难道此事与我有关么？
[c]主子！,[1],主子！
[c][ch-0]，[c][ch-0]，[c]我儿子怎么样了？,"[1, 1, 3]",ch-0，ch-0，我儿子怎么样了？
[c]我有急事找他。,[0],我有急事找他。
[c]去，[c]把[ch-1]家目前所有的护卫给我调出来，[c]等在我房间外听候差遣，[c]一旦有[ch-0]太子的消息，[c]即刻出发，[c]找到[ch-0]太子，[c]护其周全。,"[7, 7, 7, 14, 7, 7, 7]",去，把ch-1家目前所有的护卫给我调出来，等在我房间外听候差遣，一旦有ch-0太子的消息，即刻出发，找到ch-0太子，护其周全。
[c][ch-3]姐姐，[c][ch-4]姐姐。,"[1, 1]",ch-3姐姐，ch-4姐姐。
[c]哎呦，[c][ch-0]，[c]您好几天没有理我了，[c]夜深了，[c]要不咱们休息吧！,"[1, 1, 0, 0, 9]",哎呦，ch-0，您好几天没有理我了，夜深了，要不咱们休息吧！
[c]他们去了哪里？,[3],他们去了哪里？
[c]小心！,[2],小心！
[c][ch-0]，[c]他他是谁。,"[1, 3]",ch-0，他他是谁。
[c]是吗？,[3],是吗？
[c]快，[c]快，[c]把她弄回去。,"[7, 7, 7]",快，快，把她弄回去。
[c]赶紧把路让开，[c]这个是紧急军情，[c]不要耽误了天使报信！,"[7, 0, 7]",赶紧把路让开，这个是紧急军情，不要耽误了天使报信！
[c]你嘴角都流血了，[c]必须马上去医院！,"[0, 7]",你嘴角都流血了，必须马上去医院！
[c]老太爷，[c]找找找到了。,"[1, 0]",老太爷，找找找到了。
[c]具体什么情况，[c]说清楚。,"[3, 7]",具体什么情况，说清楚。
[c]快让他喝牛奶！,[7],快让他喝牛奶！
[c]别闹了，[c]快说说都需要注意那些[ch-1]？,"[7, 3]",别闹了，快说说都需要注意那些ch-1？
[c]去南三所做什么？,[3],去南三所做什么？
[c]急什么？,[3],急什么？
